FID,Block Number,x1,y1,dma,Subscription Number,zone,status
4441,5030,32.91640897,24.09370975,1,0,1135,illegal
4442,5031,32.91638961,24.09366278,1,728024,1135,water
4443,5032,32.91995979,24.09502465,1,719908,1135,water
4444,5033,32.91984824,24.09504377,1,66358,1135,water
4445,5034,32.91740339,24.09425082,1,0,1135,illegal
4446,5035,32.91755276,24.09420386,1,716112,1135,water
4447,5036,32.91773576,24.094309,1,0,1135,non-user
4448,5037,32.91944944,24.09426639,1,718834,1135,water
4449,5038,32.92003974,24.09331675,1,0,1135,illegal
4450,5039,32.91973408,24.09412247,1,719818,1135,water
4451,5040,32.92017902,24.09459018,1,0,1135,illegal
4452,5041,32.92051929,24.09457621,1,0,1135,illegal
4453,5042,32.92062612,24.09449354,1,0,1135,illegal
4454,5043,32.92051976,24.09450317,1,619597,1135,water
4455,5044,32.9190045,24.09408996,1,0,1135,non-user
4456,5045,32.91882021,24.09354564,1,724128,1135,water
4457,5046,32.91880552,24.09333116,1,718851,1135,water
4458,5047,32.91885692,24.09306047,1,718986,1135,water
4459,5048,32.91866278,24.09318177,1,0,1135,illegal
4460,5049,32.91851864,24.09321363,1,0,1135,illegal
4461,5050,32.91816141,24.09315878,1,54957,1135,water
4462,5051,32.91858348,24.09356937,1,719875,1135,water
4463,5052,32.91868569,24.09350045,1,0,1135,illegal
4464,5053,32.91608497,24.09436425,1,0,1135,illegal
4465,5054,32.91613935,24.09421884,1,0,1135,illegal
4466,5055,32.91604183,24.09424733,1,0,1135,illegal
4467,5056,32.91592152,24.09419663,1,722211,1135,water
4468,5057,32.91707568,24.09378121,1,719863,1135,water
4469,5058,32.9162176,24.09418647,1,719845,1135,water
4470,5059,32.91606752,24.09377321,1,13566,1135,water
4471,5060,32.91597513,24.0937999,1,717362,1135,water
4472,5061,32.91599687,24.09385357,1,725687,1135,water
4473,5062,32.9160896,24.09382945,1,0,1135,illegal
4474,5063,32.91609396,24.09414978,1,70242,1135,water
4475,5064,32.91600632,24.0941725,1,0,1135,illegal
4476,5065,32.9163059,24.09416231,1,0,1135,illegal
4477,5066,32.91618322,24.09412899,1,70242,1135,water
4478,5067,32.91646415,24.09406127,1,0,1135,illegal
4479,5068,32.91644635,24.09401412,1,0,1135,illegal
4480,5069,32.91641589,24.0939458,1,0,1135,illegal
4481,5070,32.91650732,24.09391351,1,0,1135,illegal
4482,5071,32.91660129,24.0939329,1,0,1135,illegal
4483,5072,32.91670309,24.09390726,1,0,1135,illegal
4484,5073,32.91673979,24.09384983,1,724149,1135,water
4485,5074,32.91680817,24.09381679,1,725679,1135,water
4486,5075,32.91694491,24.09379769,1,0,1135,illegal
4487,5076,32.91657168,24.09408556,1,724124,1135,water
4488,5077,32.91650273,24.09418872,1,616241,1135,water
4489,5078,32.91782712,24.09315121,1,717369,1135,water
4490,5079,32.91792091,24.09345513,1,718791,1135,water
4491,5080,32.91833766,24.09357978,1,718855,1135,water
4492,5081,32.91789529,24.09377322,1,0,1135,illegal
4493,5082,32.91803656,24.09352892,1,0,1135,illegal
4494,5083,32.9179236,24.09359585,1,0,1135,illegal
4495,5084,32.91730861,24.09374316,1,0,1135,illegal
4496,5085,32.91752111,24.09382085,1,722208,1135,water
4497,5086,32.9171184,24.09361058,1,724153,1135,water
4498,5088,32.91732565,24.0933922,1,71115,1135,water
4499,5089,32.91951057,24.09735911,1,0,1135,illegal
4500,5090,32.91995362,24.09721504,1,717385,1135,water
4501,5091,32.91984654,24.09716501,1,0,1135,illegal
4502,5092,32.91932956,24.09652312,1,0,1135,illegal
4503,5093,32.91914214,24.09653639,1,716655,1135,water
4504,5094,32.91927836,24.09652597,1,0,1135,illegal
4505,5095,32.91998135,24.09627678,1,0,1135,non-user
4506,5096,32.91938047,24.09632996,1,0,1135,non-user
4507,5097,32.91862256,24.09734952,1,719936,1135,water
4508,5098,32.91864291,24.09740452,1,725529,1135,water
4509,5099,32.91856153,24.09742818,1,0,1135,illegal
4510,5100,32.91854135,24.09737156,1,0,1135,illegal
4511,5101,32.91792513,24.09687432,1,33855,1135,water
4512,5102,32.91840273,24.09695464,1,716660,1135,water
4513,5103,32.91839703,24.09702386,1,627313,1135,water
4514,5104,32.91848055,24.09701562,1,0,1135,illegal
4515,5105,32.9184923,24.09694526,1,717961,1135,water
4516,5106,32.91893146,24.09678197,1,0,1135,non-user
4517,5107,32.91840644,24.09466471,1,37184,1135,water
4518,5108,32.91849305,24.0946461,1,724543,1135,water
4519,5109,32.91795929,24.09540861,1,725680,1135,water
4520,5110,32.91793787,24.09531441,1,0,0,
4521,5111,32.91799417,24.09530109,1,74415,1135,water
4522,5112,32.91773693,24.09535381,1,71741,1135,water
4523,5113,32.91795607,24.09510194,1,72483,1135,water
4524,5114,32.91858036,24.09490789,1,0,1135,
4525,5115,32.91845715,24.09482377,1,0,1135,illegal
4526,5116,32.91907638,24.0951004,1,37216,1135,water
4527,5117,32.91908532,24.09513604,1,37127,1135,water
4528,5118,32.91846488,24.09630203,1,0,1135,illegal
4529,5119,32.91844455,24.09621521,1,687760,1135,water
4530,5120,32.91842685,24.09612988,1,1966,1135,water
4531,5121,32.9185293,24.09600904,1,0,1135,illegal
4532,5122,32.91850991,24.09611364,1,724576,1135,water
4533,5123,32.91852737,24.09620135,1,0,1135,water
4534,5124,32.91854395,24.09628979,1,30366,1135,water
4535,5125,32.91857315,24.09636464,1,69102,1135,water
4536,5126,32.91801455,24.09605927,1,37204,1135,water
4537,5127,32.91803187,24.096138,1,33666,1135,water
4538,5128,32.91818949,24.09601788,1,0,1135,illegal
4539,5129,32.91821244,24.09610287,1,613779,1135,water
4540,5130,32.91800199,24.0956905,1,37801,1135,water
4541,5131,32.91802043,24.09576522,1,74344,1135,water
4542,5132,32.91791283,24.09570423,1,37112,1135,water
4543,5133,32.91793353,24.09578057,1,37122,1135,water
4544,5134,32.91911098,24.09546936,1,620715,1135,water
4545,5135,32.91977565,24.098374,1,0,1135,illegal
4546,5136,32.92019357,24.09844277,1,0,1135,non-user
4547,5137,32.91998613,24.09801308,1,0,1135,illegal
4548,5138,32.91984415,24.09781461,1,719850,1135,water
4549,5139,32.91982884,24.09792187,1,0,1135,illegal
4550,5140,32.91982098,24.09800886,1,0,1135,
4551,5141,32.92072612,24.09789399,1,717392,1135,water
4552,5142,32.92064784,24.09763138,1,0,1135,illegal
4553,5143,32.92080035,24.09742912,1,718879,1135,water
4554,5144,32.92071781,24.09739108,1,0,1135,illegal
4555,5145,32.92056497,24.097415,1,0,1135,non-user
4556,5146,32.92045113,24.0974135,1,0,1135,non-user
