Block Number,X,Y,DMA,Zone,Status
1906,32.9184068,24.0926837,1,1135,water meter
1907,32.91857454,24.09263564,1,1135,water meter
1908,32.9184431,24.0925259,1,1135,water meter
1909,32.91840571,24.0923957,1,1135,water meter
1910,32.91828823,24.09227811,1,1135,water meter
1911,32.91816082,24.09223082,1,1135,water meter
1913,32.91802993,24.09222715,1,1135,water meter
1916,32.91853541,24.09286396,1,1135,water meter
1918,32.91859984,24.09294467,1,1135,
1919,32.91851699,24.09298312,1,1135,water meter
1922,32.91841525,24.09302437,1,1135,illegal connection
1923,32.91826938,24.09298462,1,1135,illegal connection
1926,32.91815981,24.09302129,1,1135,water meter
1927,32.91808756,24.09292285,1,1135,non-user
1929,32.91840835,24.09294062,1,1135,water meter
1930,32.91904312,24.09192485,1,1135,water meter
1931,32.91901313,24.09209949,1,1135,illegal connection
1932,32.918988,24.09219841,1,1135,illegal connection
1933,32.9189942,24.09228361,1,1135,illegal connection
1934,32.91911125,24.09235196,1,1135,water meter
1935,32.91920821,24.09235407,1,1135,illegal connection
1936,32.91921447,24.09224404,1,1135,illegal connection
1937,32.91928914,24.09226561,1,1135,water meter
1938,32.9193693,24.09223584,1,1135,water meter
1939,32.9194588,24.09222954,1,1135,water meter
1941,32.91938782,24.09234858,1,1135,water meter
1942,32.91930035,24.09239399,1,1135,water meter
1944,32.91917193,24.09256486,1,1135,water meter
1945,32.91903346,24.09255834,1,1135,water meter
1947,32.91902286,24.09246307,1,1135,water meter
1948,32.91916813,24.09247088,1,1135,non-user
1949,32.91905939,24.09267256,1,1135,illegal connection
1950,32.9191479,24.09267149,1,1135,non-user
1951,32.91924803,24.09266964,1,1135,water meter
1953,32.91937365,24.09287292,1,1135,water meter
1954,32.91952288,24.09289835,1,1135,illegal connection
1955,32.91970847,24.09290741,1,1135,water meter
1956,32.91924511,24.09282296,1,1135,water meter
1957,32.91911263,24.09286125,1,1135,water meter
1958,32.91910628,24.0927575,1,1135,water meter
1959,32.91982121,24.09287715,1,1135,water meter
1960,32.91993545,24.09281251,1,1135,non-user
1961,32.92003444,24.09275975,1,1135,water meter
1962,32.92013883,24.09268906,1,1135,water meter
1963,32.92020001,24.09264167,1,1135,water meter
1964,32.92032719,24.09255959,1,1135,illegal connection
1965,32.92042355,24.09251277,1,1135,water meter
1967,32.92058525,24.09229393,1,1135,water meter
1968,32.92057959,24.09240015,1,1135,water meter
1969,32.92073734,24.09249576,1,1135,illegal connection
1970,32.9205548,24.09259999,1,1135,water meter
1971,32.92036726,24.09272509,1,1135,non-user
1972,32.92023469,24.0928176,1,1135,water meter
1973,32.92018231,24.09287562,1,1135,water meter
1975,32.92009682,24.09299982,1,1135,illegal connection
1976,32.92008868,24.09291086,1,1135,illegal connection
1977,32.91994075,24.09294714,1,1135,water meter
1978,32.91986073,24.09301284,1,1135,water meter
1980,32.91976529,24.0930483,1,1135,illegal connection
1981,32.91969317,24.09306802,1,1135,water meter
1982,32.9195639,24.09319637,1,1135,water meter
1983,32.91970108,24.09326187,1,1135,water meter
1984,32.91960597,24.09328421,1,1135,water meter
1985,32.91946924,24.09332797,1,1135,water meter
1986,32.91936592,24.09335215,1,1135,water meter
1987,32.91927483,24.09337781,1,1135,water meter
1988,32.91914005,24.09342572,1,1135,water meter
1989,32.91897234,24.09348915,1,1135,water meter
1990,32.91898308,24.09342224,1,1135,water meter
1991,32.91902461,24.09331267,1,1135,water meter
1992,32.91904155,24.0931992,1,1135,water meter
1993,32.91904583,24.09314167,1,1135,water meter
1994,32.91904623,24.09306504,1,1135,illegal connection
1996,32.91938045,24.09310502,1,1135,non-user
